Time,Side,Price,Amount,Cash,BTC,Source
2026-06-30 17:00:00+00:00,BUY,58361.89845142333,499.5,9500.5,0.016903093804140436,live_dca
2026-06-30 17:30:00+00:00,BUY,58322.89845142333,499.5,9000.5,0.016903093804140436, chatbot
2026-07-02 18:00:00+00:00,BUY,61716.808409384095,499.5,8500.5,0.024996512969413583, chatbot
2026-07-02 18:00:00+00:00,BUY,61757.81616395484,999.0,7500.5,0.04117260309131575, live_dca
2026-07-02 18:30:00+00:00,BUY,61709.82707262926,99.9,7400.5,0.042791470048800864, live_dca
2026-07-02 18:30:00+00:00,BUY,61663.65830369978,99.9,7300.5,0.044411549083164706, live_dca
2026-07-02 18:30:00+00:00,SELL,61651.746980792035,0.0016213,7400.355974607978,0.04279024908316471, live_dca
2026-07-03 22:30:00+00:00,SELL,62518.01468502285,0.001,62.45547464596035,0.16014392823490517, live_dca
2026-07-03 22:30:00+00:00,SELL,62535.78808099455,0.02,1311.9204365002263,0.14014392823490515, live_dca
2026-07-06 01:30:00+00:00,SELL,63783.47854598436,0.11835367915174046,8853.377309452548,0.021790249083164702, live_dca
2026-07-06 04:00:00+00:00,SELL,63286.29777381826,0.1,6322.300652381826,0.06124766611054155, live_dca
2026-07-06 14:00:00+00:00,BUY,61719.08956431357,249.75,6072.300652381826,0.06529422612565244, chatbot
2026-07-06 14:00:00+00:00,BUY,61744.280881797305,499.5,5572.300652381826,0.07338404420866225, chatbot
2026-07-07 17:00:00+00:00,BUY,63995.77787083329,999.0,4572.300652381826,0.088994449039061292, chatbot
2026-07-16 00:00:00+00:00,BUY,64739.208767572076,499.5,4072.300652381826,0.0967100206302019, live_dca
2026-07-22 17:30:00+00:00,BUY,66094.58767882688,499.5,3572.300652381826,0.10426737165608646,chatbot
2026-07-22 17:30:00+00:00,SELL,66135.72137904474,0.01,4232.996566172274,0.09426737165608645,chatbot
2026-07-25 17:30:00+00:00,BUY,64229.430869285636,99.9,4132.996566172274,0.09582273340611205,chatbot
