Datetime,Close,High,Low,Open,Volume
2026-04-20 00:00:00+00:00,74261.46875,74310.0,73772.9609375,73830.0,701843456
2026-04-20 00:30:00+00:00,74305.296875,74382.15625,74180.0078125,74257.703125,422633472
2026-04-20 01:00:00+00:00,74325.5234375,74390.59375,74239.796875,74314.6796875,200122368
2026-04-20 01:30:00+00:00,74621.4296875,74772.3515625,74325.53125,74325.53125,1216860160
2026-04-20 02:00:00+00:00,74484.5078125,74654.9375,74337.390625,74623.9921875,172959744
2026-04-20 02:30:00+00:00,74439.90625,74553.03125,74433.9921875,74509.9921875,299628544
2026-04-20 03:00:00+00:00,74545.21875,74614.0,74390.1328125,74448.2734375,95920128
2026-04-20 03:30:00+00:00,74665.6171875,74672.9609375,74492.890625,74547.6875,618160128
2026-04-20 04:00:00+00:00,74538.4921875,74669.1875,74469.0390625,74666.078125,139982848
2026-04-20 04:30:00+00:00,74593.59375,74645.359375,74474.46875,74535.9296875,143271936
2026-04-20 05:00:00+00:00,74173.78125,74586.0703125,74170.4765625,74567.78125,170786816
2026-04-20 05:30:00+00:00,74297.921875,74336.78125,74136.9375,74163.7578125,366522368
2026-04-20 06:00:00+00:00,74370.75,74468.5390625,74283.5390625,74315.828125,55478272
2026-04-20 06:30:00+00:00,74820.1796875,74910.15625,74407.5390625,74407.5390625,773132288
2026-04-20 07:00:00+00:00,75242.5,75582.0078125,74724.4375,74873.421875,75358208
2026-04-20 07:30:00+00:00,74860.0234375,75275.1328125,74694.3671875,75257.3515625,1036924928
2026-04-20 08:00:00+00:00,74849.2421875,75026.953125,74689.71875,74860.3828125,291448832
2026-04-20 08:30:00+00:00,74758.0078125,74957.3125,74650.28125,74852.2265625,880314368
2026-04-20 09:00:00+00:00,75064.921875,75176.0234375,74726.109375,74745.359375,419037184
2026-04-20 09:30:00+00:00,75100.4375,75269.5234375,75002.390625,75064.328125,277516288
2026-04-20 10:00:00+00:00,75338.96875,75436.03125,75105.2578125,75130.3828125,243802112
2026-04-20 10:30:00+00:00,75068.6875,75340.8203125,75042.171875,75340.8203125,550027264
2026-04-20 11:00:00+00:00,75200.03125,75300.0,75000.2890625,75068.7265625,10682368
2026-04-20 11:30:00+00:00,75232.7265625,75318.2578125,75108.0,75175.7265625,149692416
2026-04-20 12:00:00+00:00,75452.8125,75669.0078125,75111.2578125,75222.8984375,237555712
2026-04-20 12:30:00+00:00,75322.8671875,75494.7734375,75136.0,75457.6796875,956162048
2026-04-20 13:00:00+00:00,75231.3671875,75384.5234375,75032.296875,75349.9296875,629112832
2026-04-20 13:30:00+00:00,75316.890625,75467.28125,74945.171875,75251.546875,818421760
2026-04-20 14:00:00+00:00,75611.4921875,75765.2109375,75072.71875,75300.0,572112896
2026-04-20 14:30:00+00:00,75071.84375,75712.0234375,74961.1171875,75593.0625,701808640
2026-04-20 15:00:00+00:00,75747.390625,75747.390625,74735.7421875,75090.75,608083968
2026-04-20 15:30:00+00:00,75750.0,75758.078125,75552.8515625,75714.6171875,1349758976
2026-04-20 16:00:00+00:00,75389.9921875,75753.1484375,75350.34375,75753.1484375,375021568
2026-04-20 16:30:00+00:00,75378.7890625,75598.671875,75328.75,75434.671875,286035968
2026-04-20 17:00:00+00:00,75758.203125,75922.9921875,75322.359375,75391.21875,246603776
2026-04-20 17:30:00+00:00,75937.3125,75998.1484375,75640.0078125,75747.0703125,138964992
2026-04-20 18:00:00+00:00,76133.3515625,76356.0,75953.3671875,75954.421875,562737152
2026-04-20 18:30:00+00:00,76455.671875,76489.0625,76029.9765625,76143.15625,346877952
2026-04-20 19:00:00+00:00,76248.0,76528.0078125,76206.8984375,76483.3671875,1324335104
2026-04-20 19:30:00+00:00,76330.9375,76369.5703125,76184.859375,76225.6484375,549314560
2026-04-20 20:00:00+00:00,76373.2578125,76590.0,76162.3125,76311.109375,640135168
2026-04-20 20:30:00+00:00,76317.28125,76365.921875,76248.6015625,76365.921875,483086336
2026-04-20 21:00:00+00:00,75962.2578125,76405.7265625,75907.1328125,76330.0,345976832
2026-04-20 21:30:00+00:00,75988.0078125,76005.4765625,75816.0,75958.4609375,198270976
2026-04-20 22:00:00+00:00,75953.8671875,76180.578125,75942.0234375,76054.0,0
2026-04-20 22:30:00+00:00,76004.671875,76100.9921875,75933.0234375,75953.7890625,52400128
2026-04-20 23:00:00+00:00,75695.7734375,75937.7265625,75655.9921875,75912.7734375,169103360
2026-04-20 23:30:00+00:00,75875.0390625,75909.15625,75667.34375,75718.1484375,8646656
2026-04-21 00:00:00+00:00,75930.0,75955.8203125,75724.8203125,75876.890625,53334016
2026-04-21 00:30:00+00:00,76128.1015625,76129.828125,75884.3515625,75955.828125,152141824
2026-04-21 01:00:00+00:00,76166.0,76270.1875,76020.0,76086.0,50192384
2026-04-21 01:30:00+00:00,75955.0625,76255.6171875,75906.0234375,76166.0078125,1306824704
2026-04-21 02:00:00+00:00,75754.5,75958.9375,75723.1328125,75955.0703125,122986496
2026-04-21 02:30:00+00:00,75613.75,75822.7265625,75612.0,75766.84375,48865280
2026-04-21 03:00:00+00:00,75658.0,75676.953125,75526.7265625,75613.75,160051200
2026-04-21 03:30:00+00:00,75740.578125,75747.390625,75520.0,75656.8515625,178360320
2026-04-21 04:00:00+00:00,75655.0078125,75783.2734375,75633.28125,75755.7734375,110231552
2026-04-21 04:30:00+00:00,75840.578125,75850.7109375,75646.8828125,75663.2421875,151371776
2026-04-21 05:00:00+00:00,75931.7890625,76010.640625,75830.0,75840.0078125,196288512
2026-04-21 05:30:00+00:00,75835.7734375,75929.1015625,75815.0,75927.4375,124891136
2026-04-21 06:00:00+00:00,75791.59375,75847.2265625,75731.171875,75835.7734375,85012480
2026-04-21 06:30:00+00:00,76001.828125,76146.0,75787.890625,75796.0,114552832
2026-04-21 07:00:00+00:00,76203.0,76321.09375,75851.7421875,76007.7890625,52820643840
2026-04-21 07:30:00+00:00,76118.09375,76323.5390625,76062.46875,76230.15625,411975680
2026-04-21 08:00:00+00:00,76376.8828125,76405.6875,76114.59375,76125.6328125,189038592
2026-04-21 08:30:00+00:00,76545.65625,76879.34375,76284.96875,76373.921875,633675776
2026-04-21 09:00:00+00:00,76281.46875,76596.4921875,76237.7578125,76545.609375,291885056
2026-04-21 09:30:00+00:00,76388.3984375,76409.1796875,76192.3828125,76286.7890625,291524608
2026-04-21 10:00:00+00:00,76546.6328125,76609.34375,76382.4609375,76382.4609375,118722560
2026-04-21 10:30:00+00:00,76775.1171875,76905.171875,76504.2265625,76551.7421875,489181184
2026-04-21 11:00:00+00:00,76706.1796875,76789.328125,76370.0078125,76786.953125,253542400
2026-04-21 11:30:00+00:00,76478.6171875,76726.1875,76450.0,76705.296875,426078208
2026-04-21 12:00:00+00:00,76404.0078125,76516.390625,76271.578125,76489.0,86884352
2026-04-21 12:30:00+00:00,76044.5625,76548.7734375,75749.3515625,76412.0,731615232
2026-04-21 13:00:00+00:00,76061.703125,76157.5625,75928.046875,76051.25,99045376
2026-04-21 13:30:00+00:00,75922.0,76198.609375,75752.8203125,76024.90625,30132568064
2026-04-21 14:00:00+00:00,76135.6484375,76303.96875,75751.328125,75936.9609375,30265696256
2026-04-21 14:30:00+00:00,75687.4765625,76595.0,75658.9765625,76132.7890625,240214016
2026-04-21 15:00:00+00:00,75708.1796875,75999.3203125,75438.703125,75694.4375,0
2026-04-21 15:30:00+00:00,75849.703125,75849.703125,75533.5625,75730.0,226119680
2026-04-21 16:00:00+00:00,75878.1015625,76001.71875,75836.7578125,75869.71875,36802560
2026-04-21 16:30:00+00:00,75794.9921875,76191.2578125,75772.890625,75874.59375,155668480
2026-04-21 17:00:00+00:00,75345.6015625,75840.34375,75107.1796875,75782.5234375,268247040
2026-04-21 17:30:00+00:00,75567.2578125,75863.9921875,75285.3828125,75324.390625,635301888
2026-04-21 18:00:00+00:00,75487.140625,75664.9921875,75385.328125,75541.953125,739450880
2026-04-21 18:30:00+00:00,75622.7890625,75642.921875,75319.203125,75482.609375,0
2026-04-21 19:00:00+00:00,75798.34375,75909.4921875,75564.0703125,75633.7578125,33292288
2026-04-21 19:30:00+00:00,75019.9921875,75780.21875,74825.9921875,75776.578125,657330176
2026-04-21 20:00:00+00:00,75656.7734375,75789.453125,74989.5390625,75004.3671875,272949248
2026-04-21 20:30:00+00:00,75743.71875,75868.90625,75598.9375,75666.6796875,74379264
2026-04-21 21:00:00+00:00,75592.4375,75796.6796875,75556.0078125,75740.6796875,0
2026-04-21 21:30:00+00:00,75565.0078125,75657.3515625,75469.859375,75607.6875,5255168
2026-04-21 22:00:00+00:00,75389.1875,75620.28125,75325.1484375,75566.6328125,207257600
2026-04-21 22:30:00+00:00,75662.0078125,75662.140625,75325.5390625,75399.890625,111128576
2026-04-21 23:00:00+00:00,75803.3125,75886.46875,75645.0,75645.0,89264128
2026-04-21 23:30:00+00:00,76356.0,76437.2578125,75803.5703125,75812.21875,477323264
2026-04-22 00:00:00+00:00,76287.65625,76519.0703125,76268.1796875,76370.0,149663744
2026-04-22 00:30:00+00:00,76337.15625,76418.359375,76234.0078125,76302.2578125,803241984
2026-04-22 01:00:00+00:00,76175.4765625,76432.9375,76152.8203125,76370.578125,205967360
2026-04-22 01:30:00+00:00,76316.7890625,76357.5703125,76148.109375,76148.109375,138469376
2026-04-22 02:00:00+00:00,77235.0,77266.4921875,76244.03125,76334.9296875,660447232
2026-04-22 02:30:00+00:00,77626.0078125,77662.0703125,77097.9921875,77297.28125,1032593408
2026-04-22 03:00:00+00:00,77543.5703125,77746.8828125,77430.0,77627.359375,1337217024
2026-04-22 03:30:00+00:00,77541.546875,77637.3828125,77430.0,77555.609375,442142720
2026-04-22 04:00:00+00:00,77528.1328125,77641.7421875,77384.0703125,77547.9921875,501452800
2026-04-22 04:30:00+00:00,77536.0,77715.9765625,77452.5078125,77534.8203125,1079058432
2026-04-22 05:00:00+00:00,78259.9921875,78433.8984375,77463.9921875,77552.03125,1109475328
2026-04-22 05:30:00+00:00,77991.9296875,78353.546875,77956.296875,78295.1328125,1704747008
2026-04-22 06:00:00+00:00,77963.5625,78048.9296875,77914.9765625,77983.296875,685723648
2026-04-22 06:30:00+00:00,78024.40625,78029.0390625,77914.9765625,77989.2265625,209924096
2026-04-22 07:00:00+00:00,77906.0078125,78128.0,77844.2109375,78028.9765625,808538112
2026-04-22 07:30:00+00:00,78007.6875,78124.609375,77858.1484375,77909.2421875,864153600
2026-04-22 08:00:00+00:00,77980.0,78220.03125,77980.0,78044.2890625,537104384
